"sample_id"	"language"	"variety"	"cefr"	"domain"	"topic"	"sample_type"	"arabic"	"source_form"	"latin"	"ko"	"en"	"lexical_refs"	"source_id"	"source_locator"	"evidence"	"derivation_type"	"license_id"	"group_id"	"family_id"	"review_status"	"learner_ready"	"note"
"ODC-000097"	"ar"	"ar-DZ-oran"	"A1"	"school_work"	"school and work"	"utterance"	"تع شا غادي يخرجوا منها هاد جامعة غير مخاخ باينة غادي تخرجي حاجا كبيرة نتيا ."	"تع شا غادي يخرجوا منها هاد جامعة غير مخاخ باينة غادي تخرجي حاجا كبيرة نتيا ."	"t3 cha ghady ykhrjwa mnha had jam3a ghyr mkhakh bayna ghady tkhrjy 7aja kbyra ntya ."	"그래서 이 대학에서는 어떤 인재들이 나와? 이곳에는 뛰어난 사람들만 있는 것 같아. 너도 훌륭한 사람이 될 게 분명해."	"So what comes out of this university? It is full of geniuses; it is clear that you will become someone important."	"OD-0045|OD-0063|OD-0131|OD-0137|OD-0165|OD-0174|OD-0184|OD-0308"	"S6"	"MADOran_Sentences.tsv:Sentno=154"	"MADORAN_DIRECT"	"source_direct"	"CC-BY-NC-3.0-MADORAN"	"batch02-school_work"	"MADOran-S6-154"	"source_verified"	"false"	"Raw MADOran sentence retained exactly; Batch02 source_direct row pending GPT and native review."
"ODC-000098"	"ar"	"ar-DZ-oran"	"A1"	"school_work"	"school and work"	"utterance"	"حق استقبلتنا 7 بيبان باش وصلنا و حكينالها قلنالها رانا باغيين غي دوصيي رسلوه"	"حق استقبلتنا 7 بيبان باش وصلنا و حكينالها قلنالها رانا باغيين غي دوصيي رسلوه"	"79 ast9bltna 7 byban bach wslna w 7kynalha 9lnalha rana baghyyn ghy dwsyy rslwh"	"그녀는 우리가 그녀에게 가기 위해 일곱 개의 문을 지나온 뒤 우리를 맞아 주었어. 우리는 그녀에게 서류만 보내 달라고 말했어."	"She received us after we had gone through seven doors to reach her. We told her that we only wanted the dossier sent."	"OD-0129|OD-0162|OD-0176|OD-0260|OD-0309|OD-0310|OD-0314|OD-0391"	"S6"	"MADOran_Sentences.tsv:Sentno=255"	"MADORAN_DIRECT"	"source_direct"	"CC-BY-NC-3.0-MADORAN"	"batch02-school_work"	"MADOran-S6-255"	"source_verified"	"false"	"Raw MADOran sentence retained exactly; Batch02 source_direct row pending GPT and native review."
"ODC-000099"	"ar"	"ar-DZ-oran"	"A1"	"school_work"	"school and work"	"utterance"	"في الجامعة جزايرية كاين 7 أنواع من الطلبة ,"	"في الجامعة جزايرية كاين 7 أنواع من الطلبة ,"	"fy aljam3a jzayrya kayn 7 anwa3 mn altlba ,"	"알제리 대학교에는 학생 유형이 7가지 있어."	"There are seven types of students at an Algerian university."	"OD-0165"	"S6"	"MADOran_Sentences.tsv:Sentno=731"	"MADORAN_DIRECT"	"source_direct"	"CC-BY-NC-3.0-MADORAN"	"batch02-school_work"	"MADOran-S6-731"	"source_verified"	"false"	"Raw MADOran sentence retained exactly; Batch02 source_direct row pending GPT and native review."
"ODC-000100"	"ar"	"ar-DZ-oran"	"A1"	"school_work"	"school and work"	"utterance"	"مشي مشكل استاد مشي مشكل . بارك الله فيك و كوراج سيرتو . ميرسي ربي معاك انشاء الله ."	"مشي مشكل استاد مشي مشكل . بارك الله فيك و كوراج سيرتو . ميرسي ربي معاك انشاء الله ."	"mchy mchkl astad mchy mchkl . bark allh fyk w kwraj syrtw . myrsy rby m3ak ancha2 allh ."	"문제없어요, 교수님. 문제없어요. 감사합니다. 특히 행운을 빌어요. 고마워요. 하느님이 함께하시길 바라요."	"No problem, professor. No problem. Thank you, and good luck, especially. Thank you; may God be with you."	"OD-0192|OD-0260|OD-0305|OD-0312|OD-0385|OD-0437|OD-0452|OD-0455"	"S6"	"MADOran_Sentences.tsv:Sentno=783"	"MADORAN_DIRECT"	"source_direct"	"CC-BY-NC-3.0-MADORAN"	"batch02-school_work"	"MADOran-S6-783"	"source_verified"	"false"	"Raw MADOran sentence retained exactly; Batch02 source_direct row pending GPT and native review."
"ODC-000101"	"ar"	"ar-DZ-oran"	"A2"	"school_work"	"school and work"	"utterance"	"و تراديكسبون مترجمة قاع غولوفي تع لي نوت بلأونقلي و مخلصة عليها دم فوادي تع دراهم و تقولي معنديش"	"و تراديكسبون مترجمة قاع غولوفي تع لي نوت بلأونقلي و مخلصة عليها دم فوادي تع دراهم و تقولي معنديش"	"w tradyksbwn mtrjma 9a3 ghwlwfy t3 ly nwt blawn9ly w mkhlsa 3lyha dm fwady t3 drahm w t9wly m3ndych"	"성적 관련 서류를 전부 영어로 번역했고 번역비도 큰돈을 냈는데, 이제 그게 없다고 하잖아."	"All the grade records were translated into English, and I paid a fortune for the translation, but you tell me you do not have it."	"OD-0059"	"S6"	"MADOran_Sentences.tsv:Sentno=229"	"MADORAN_DIRECT"	"source_direct"	"CC-BY-NC-3.0-MADORAN"	"batch02-school_work"	"MADOran-S6-229"	"source_verified"	"false"	"Raw MADOran sentence retained exactly; Batch02 source_direct row pending GPT and native review."
"ODC-000102"	"ar"	"ar-DZ-oran"	"A1"	"school_work"	"school and work"	"utterance"	"روح تخدم ولدي روح ."	"روح تخدم ولدي روح ."	"rw7 tkhdm wldy rw7 ."	"일하러 가, 얘야. 가."	"Go to work, my son, go."	"OD-0048|OD-0145|OD-0166|OD-0272|OD-0403|OD-0574"	"S6"	"MADOran_Sentences.tsv:Sentno=872"	"MADORAN_DIRECT"	"source_direct"	"CC-BY-NC-3.0-MADORAN"	"batch02-school_work"	"MADOran-S6-872"	"source_verified"	"false"	"Raw MADOran sentence retained exactly; Batch02 source_direct row pending GPT and native review."
"ODC-000103"	"ar"	"ar-DZ-oran"	"A1"	"school_work"	"school and work"	"utterance"	"و نتيا علاه جيتي شا دخلك ? مشفتيش كيفاه كان يهدر معانا . ارجعي لخدمتك أيا ."	"و نتيا علاه جيتي شا دخلك ? مشفتيش كيفاه كان يهدر معانا . ارجعي لخدمتك أيا ."	"w ntya 3lah jyty cha dkhlk ? mchftych kyfah kan yhdr m3ana . arj3y lkhdmtk aya ."	"너는 왜 왔어? 네가 상관할 일이 아니야. 그가 우리에게 어떻게 말했는지 못 봤어? 이제 네 일로 돌아가."	"Why did you come? It is none of your business. Didn't you see how he was speaking to us? Now go back to your work."	"OD-0059"	"S6"	"MADOran_Sentences.tsv:Sentno=880"	"MADORAN_DIRECT"	"source_direct"	"CC-BY-NC-3.0-MADORAN"	"batch02-school_work"	"MADOran-S6-880"	"source_verified"	"false"	"Raw MADOran sentence retained exactly; Batch02 source_direct row pending GPT and native review."
"ODC-000104"	"ar"	"ar-DZ-oran"	"A2"	"school_work"	"school and work"	"utterance"	"ايا قعدت تبدلي فهدرة و تكدب عليا و تقول رسلته قالها مديلي اكيزي ورقة بلي وصل قاتله معنديش"	"ايا قعدت تبدلي فهدرة و تكدب عليا و تقول رسلته قالها مديلي اكيزي ورقة بلي وصل قاتله معنديش"	"aya 93dt tbdly fhdra w tkdb 3lya w t9wl rslth 9alha mdyly akyzy wr9a bly wsl 9atlh m3ndych"	"그러다 네가 계속 말을 바꾸고 나에게 거짓말하면서 보냈다고 했어. 그가 그녀에게 도착했다는 영수증을 보여 달라고 했고, 그녀는 없다고 말했어."	"Then you kept changing your story, lying to me and saying you had sent it. He told her, “Give me an acknowledgment paper showing that it arrived.” She said, “I do not have one.”"	"OD-0037|OD-0176|OD-0180|OD-0309|OD-0312|OD-0317|OD-0369|OD-0371"	"S6"	"MADOran_Sentences.tsv:Sentno=226"	"MADORAN_DIRECT"	"source_direct"	"CC-BY-NC-3.0-MADORAN"	"batch02-school_work"	"MADOran-S6-226"	"source_verified"	"false"	"Raw MADOran sentence retained exactly; Batch02 source_direct row pending GPT and native review."
"ODC-000105"	"ar"	"ar-DZ-oran"	"A2"	"school_work"	"school and work"	"utterance"	"و قالهم لي كلاست لولا دروك تحوسوا و تجبدولها دوصيي تاعها و لا بلاصتك طير"	"و قالهم لي كلاست لولا دروك تحوسوا و تجبدولها دوصيي تاعها و لا بلاصتك طير"	"w 9alhm ly klast lwla drwk t7wswa w tjbdwlha dwsyy ta3ha w la blastk tyr"	"그는 그들에게 그 여학생이 반에서 1등을 했으니 지금 그 학생의 서류를 찾아서 가져오라고 했어. 그러지 않으면 네 자리를 잃을 거야."	"He told them that she had ranked first in her class and ordered them to find and bring her dossier now, or your position would be gone."	"OD-0049"	"S6"	"MADOran_Sentences.tsv:Sentno=241"	"MADORAN_DIRECT"	"source_direct"	"CC-BY-NC-3.0-MADORAN"	"batch02-school_work"	"MADOran-S6-241"	"source_verified"	"false"	"Raw MADOran sentence retained exactly; Batch02 source_direct row pending GPT and native review."
"ODC-000106"	"ar"	"ar-DZ-oran"	"A2"	"school_work"	"school and work"	"utterance"	"الا راك تحشم بيا طردني و صايي . خلينا من هاد الهدرة الله يحفظ . جيبلي دوسيات تع اليوم راني نخدم عندك . بونجوغ دكتور ما رانيش روطار لا ?"	"الا راك تحشم بيا طردني و صايي . خلينا من هاد الهدرة الله يحفظ . جيبلي دوسيات تع اليوم راني نخدم عندك . بونجوغ دكتور ما رانيش روطار لا ?"	"ila rak t7chm bya trdny w sayy . khlina mn had lhdra allh y7fz . jybly dwsyat t3 lywm rany nkhdm 3ndk . bwnjwr dktwr ma ranych rwtar la ?"	"내가 부끄러우면 그냥 해고해, 그걸로 끝내. 그 얘기는 그만하자. 오늘 서류들을 가져다줘. 나는 당신 밑에서 일하잖아. 안녕하세요, 선생님. 저 늦지 않았죠?"	"If you are embarrassed by me, fire me and that is it. Let us leave that talk aside. Bring me today's dossiers; I work for you. Good morning, doctor. I am not late, am I?"	"OD-0059"	"S6"	"MADOran_Sentences.tsv:Sentno=1351"	"MADORAN_DIRECT"	"source_direct"	"CC-BY-NC-3.0-MADORAN"	"batch02-school_work"	"MADOran-S6-1351"	"source_verified"	"false"	"Raw MADOran sentence retained exactly; Batch02 source_direct row pending GPT and native review."
